place,placeLabel,country,countryLabel,description,coordinates
http://www.wikidata.org/entity/Q438054,Alter Kran,http://www.wikidata.org/entity/Q183,Deutschland,"historic harbor crane in Lüneburg, Germany",Point(10.4134 53.2513)
http://www.wikidata.org/entity/Q439484,Altes Rathaus,http://www.wikidata.org/entity/Q183,Deutschland,city hall,Point(10.9722 49.031)
http://www.wikidata.org/entity/Q442135,Schlossruine Kronoberg,http://www.wikidata.org/entity/Q34,Schweden,"is the medieval ruin. Due to its strategic location near the border between Sweden and Denmark, at 1540s the castle was further fortified and became a stronghold in this part of Småland.",Point(14.7947217 56.9417293)
http://www.wikidata.org/entity/Q458599,Hochhaus der Wissenschaftsakademie,http://www.wikidata.org/entity/Q211,Lettland,architectural structure,Point(24.12180556 56.94327778)
http://www.wikidata.org/entity/Q459121,Hochgrat,http://www.wikidata.org/entity/Q183,Deutschland,"mountain of the Allgäu Prealps in Bavaria, Germany",Point(10.078628 47.4953531)
http://www.wikidata.org/entity/Q461314,Altes Rathaus Nürnberg,http://www.wikidata.org/entity/Q183,Deutschland,"City Hall in Nuremberg, Germany",Point(11.0776 49.4552)
http://www.wikidata.org/entity/Q463400,Piazza Navona,http://www.wikidata.org/entity/Q38,Italien,"public square in Rome, Italy",Point(12.473143934 41.898981604)
http://www.wikidata.org/entity/Q465753,Freiburger Bächle,http://www.wikidata.org/entity/Q183,Deutschland,,
http://www.wikidata.org/entity/Q473467,Carrick-a-Rede,http://www.wikidata.org/entity/Q145,Vereinigtes Königreich,"rope bridge near Ballintoy, Antrim, Northern Ireland",Point(-6.33251013 55.239558653)
http://www.wikidata.org/entity/Q474939,Korykische Grotten,http://www.wikidata.org/entity/Q43,Türkei,two sinkholes in Mersin Province; Turkey,Point(34.105555555 36.4525)
http://www.wikidata.org/entity/Q475573,Kreuzkirche,http://www.wikidata.org/entity/Q159,Russland,"church in Kaliningrad, Russia",Point(20.522805555 54.705722222)
http://www.wikidata.org/entity/Q482485,Gyeongbokgung,http://www.wikidata.org/entity/Q884,Südkorea,"main royal palace of the Joseon Dynasty, located in Seoul, South Korea",Point(126.977222222 37.578611111)
http://www.wikidata.org/entity/Q483891,Anafiotika,http://www.wikidata.org/entity/Q41,Griechenland,neighborhood,Point(23.728323 37.9724556)
http://www.wikidata.org/entity/Q489902,Nördlingen,http://www.wikidata.org/entity/Q183,Deutschland,"town in Bavaria, Germany",Point(10.5 48.85)
http://www.wikidata.org/entity/Q493117,Fischerbastei,http://www.wikidata.org/entity/Q28,Ungarn,"building in Budapest, Hungary",Point(19.03472 47.50222)
http://www.wikidata.org/entity/Q493126,Hundertwasserhaus,http://www.wikidata.org/entity/Q40,Österreich,building in Vienna,Point(16.3939 48.2075)
http://www.wikidata.org/entity/Q494649,Korean Folk Village,http://www.wikidata.org/entity/Q884,Südkorea,living museum,Point(127.1181 37.25892)
http://www.wikidata.org/entity/Q495431,Touristenregion Kŭmgang-san,http://www.wikidata.org/entity/Q423,Nordkorea,special administrative region of North Korea,Point(128.200277777 38.688055555)
http://www.wikidata.org/entity/Q501726,Dune du Pilat,http://www.wikidata.org/entity/Q142,Frankreich,tallest sand dune in Europe,Point(-1.21166667 44.59)
http://www.wikidata.org/entity/Q503368,Carrantuohill,http://www.wikidata.org/entity/Q27,Irland,highest mountain in Ireland,Point(-9.742777777 51.998888888)
http://www.wikidata.org/entity/Q505954,Großer Basar,http://www.wikidata.org/entity/Q43,Türkei,"bazaar in Istanbul, Turkey",Point(28.967933333 41.010580555)
http://www.wikidata.org/entity/Q506234,Monumento a Vittorio Emanuele II,http://www.wikidata.org/entity/Q38,Italien,monument built in honour of Victor Emmanuel II of Italy,Point(12.483055555 41.894722222)
http://www.wikidata.org/entity/Q512953,Yenidze,http://www.wikidata.org/entity/Q183,Deutschland,architectural structure,Point(13.726853 51.059019)
http://www.wikidata.org/entity/Q513949,Kloster Vadstena,http://www.wikidata.org/entity/Q34,Schweden,medieval abbey,Point(14.891388888 58.450555555)
http://www.wikidata.org/entity/Q514648,Lugnaquilla,http://www.wikidata.org/entity/Q27,Irland,"mountain in Wicklow, Ireland",Point(-6.463 52.966)
http://www.wikidata.org/entity/Q515253,Pura Tanah Lot,http://www.wikidata.org/entity/Q252,Indonesien,rock formation off the Indonesian island of Bali,Point(115.08675 -8.62113889)
http://www.wikidata.org/entity/Q521935,Sieben Schwestern,http://www.wikidata.org/entity/Q159,Russland,architectural structure,Point(37.530277777 55.703055555)
http://www.wikidata.org/entity/Q521935,Sieben Schwestern,http://www.wikidata.org/entity/Q15180,Sowjetunion,architectural structure,Point(37.530277777 55.703055555)
http://www.wikidata.org/entity/Q523194,Chapultepec,http://www.wikidata.org/entity/Q96,Mexiko,Urban park in Mexico City,Point(-99.197777777 19.413055555)
http://www.wikidata.org/entity/Q528079,Tian Tan Buddha,http://www.wikidata.org/entity/Q148,Volksrepublik China,The second largest outdoor bronze Buddha in the world,Point(113.905144444 22.254105555)
http://www.wikidata.org/entity/Q528852,BH-Zaun von Cardrona,http://www.wikidata.org/entity/Q664,Neuseeland,tourist attraction in New Zealand,Point(169.022169 -44.860432)
http://www.wikidata.org/entity/Q540237,Fountains Abbey,http://www.wikidata.org/entity/Q145,Vereinigtes Königreich,"ruined Cistercian abbey in Yorkshire, England, UK",Point(-1.58139 54.1097)
http://www.wikidata.org/entity/Q542329,Römerkastell Saalburg,http://www.wikidata.org/entity/Q183,Deutschland,"is the cohort  castrum, part of the Limes Germanicus, and is the most completely reconstructed Roman fort in Germany",Point(8.56666 50.2715)
http://www.wikidata.org/entity/Q545360,Graceland,http://www.wikidata.org/entity/Q30,Vereinigte Staaten,"mansion in Memphis, Tennessee, United States; former residence of Elvis Presley",Point(-90.025833333 35.046111111)
http://www.wikidata.org/entity/Q546010,Ani,http://www.wikidata.org/entity/Q43,Türkei,"Ruined medieval Armenian city in Kars, Turkey, and UNESCO World Heritage Site",Point(43.572777777 40.5075)
